percent_index,,REDSHIFT,g_SDSS,r_SDSS,i_SDSS,LOGBH,LOGEDD_RATIO,LOGLBOL,g_HSC,r_HSC,i_HSC,g_SDSS-HSC,r_SDSS-HSC,i_SDSS-HSC,MBH,EDD_RATIO,LBOL,half_g_SDSS+HSC,REDSHIFT_err,g_SDSS_err,r_SDSS_err,i_SDSS_err,LOGBH_err,LOGEDD_RATIO_err,LOGLBOL_err,g_HSC_err,r_HSC_err,i_HSC_err,g_SDSS-HSC_err,r_SDSS-HSC_err,i_SDSS-HSC_err,MBH_err,EDD_RATIO_err,LBOL_err,half_g_SDSS+HSC_err
2.0,27,1.553165,19.974700000000002,19.80375,19.551949999999998,9.006008580281415,-0.9161556451614367,46.19022348023755,19.86567555,19.665168004999998,19.45407667,0.10902445000000024,0.13858199500000018,0.09787333000000054,1281838303.9125597,0.16443434528352197,1.7531048675534128e+46,19.920187775000002,0.0007967493687651238,0.04547710954034506,0.04487948420820705,0.04249887417153825,0.02709118055897634,0.03256064635783167,0.020897525368072732,0.01679665809204484,0.02408427918157541,0.027691130882614712,0.036374601097446474,0.02943820693403286,0.02718145834438211,108802773.01745072,0.01452124695088266,8.91512397450311e+44,0.03113148198351531
2.0,28,1.58574,19.801099999999998,19.66395,19.43065,8.932723035001093,-0.773792603333846,46.25930097678481,19.97753973,19.818698689999998,19.59477272,-0.1764397299999997,-0.15474868999999938,-0.1641227200000001,1147880432.3424716,0.22629330719559698,1.950396659216368e+46,19.889319864999997,0.0011625935733487556,0.04084178879936852,0.03527904324829277,0.03385983918907344,0.032091619419185424,0.03482654712843041,0.016152257045153,0.008932482947072846,0.012160106491995724,0.017853123942829403,0.03707119669264027,0.03037791175207829,0.028016164005611566,99483995.29334848,0.018178759405789734,7.178128812863785e+44,0.023192700850802633
2.0,29,1.61727,19.977,19.788249999999998,19.512999999999998,8.97161540155885,-0.8250024535531935,46.246983493123224,19.877974884999997,19.723582850000003,19.469140725,0.09902511500000025,0.0646671500000007,0.04385927499999962,1065263579.09876,0.1939507950554024,2.0021066073803285e+46,19.927487442500002,0.0011101751600738684,0.03442766748039345,0.03562660240517529,0.038289362317373093,0.024084286351572885,0.032887128202899796,0.02433087494698814,0.0077116211936680435,0.016906579905661995,0.025470422990731253,0.03025450583604571,0.026979240475710382,0.021459152649652365,47766652.24981368,0.014146896693421314,9.289400275997188e+44,0.019668926939886956
2.0,30,1.6532499999999999,19.91545,19.78545,19.50615,9.034687916307531,-0.866850027401308,46.26820843402379,19.877725795000003,19.729018404999998,19.51023083,0.037724205000000136,0.05643159499999976,-0.004080830000000005,1533130655.6566706,0.17818486198347047,2.055036055009055e+46,19.8965878975,0.001251407040656812,0.03530249068866418,0.03812326948417824,0.04141970569010067,0.0358088700993387,0.034107644466001334,0.01972269995673344,0.009083129908627148,0.015161601378481087,0.020940315806593023,0.03527476363217993,0.03314519602026817,0.02895436793017352,146063516.29806787,0.012250797263543708,9.667178538416856e+44,0.01890870868058904
2.0,31,1.68933,19.821,19.7173,19.425,8.923527980407698,-0.7474373996772105,46.27646112584805,19.85846519,19.72648973,19.461520954999997,-0.03746518999999945,-0.009189730000000118,-0.036520954999999945,1199606297.3937078,0.2612128760898663,2.0360571707496522e+46,19.839732595000005,0.0010102343777668842,0.028575468552641602,0.02960824635712556,0.02993817880629752,0.041388985590823116,0.037002965139104824,0.017275202756050132,0.009874586135502577,0.013157072255119766,0.016557741546396484,0.03101035745807079,0.028272648156476628,0.02719310852418024,103019501.53019278,0.027196183110227836,8.195609281664158e+44,0.013397088551590903
2.0,32,1.7222899999999999,19.92055,19.821499999999997,19.571550000000002,9.030232424007128,-0.907053362327639,46.22354960679705,20.01328869,19.903152185000003,19.704604340000003,-0.09273868999999982,-0.08165218500000011,-0.13305434000000033,1478046888.8900032,0.17599697258457475,1.8808723367089606e+46,19.966919345,0.0008913723163287888,0.04176892440868745,0.04056540091179594,0.04056820490864012,0.03422257186128265,0.039954356368215864,0.022963602178653206,0.01224484658031406,0.014857250612563854,0.019139475069856426,0.04026322189712733,0.03355986600016608,0.030606615016298085,129964284.73320124,0.014445908084341524,8.355351924693441e+44,0.023498388989926223
2.0,33,1.7567150000000002,19.89695,19.7924,19.52115,8.934745996574629,-0.7224444721793514,46.31267206951284,19.90221749,19.804940605,19.586944305,-0.0052674900000002954,-0.012540605000000588,-0.06579430499999983,1295223893.5736322,0.2924108476694502,2.230932954928758e+46,19.899583744999997,0.000956907729076311,0.038966455851584925,0.03872877545225413,0.03547267760076876,0.03861866467612364,0.03843329231224629,0.017172060809583892,0.011289474961599865,0.014433412147353487,0.01799576915355133,0.03694897912314159,0.03343058615370034,0.027951127450189215,138415139.31992412,0.03539251506869257,9.262772811351883e+44,0.021897788542378806
2.0,34,1.78754,20.116500000000002,20.02235,19.697999999999997,8.946080460550752,-0.8204024892758521,46.22604851639247,19.97937651,19.909363640000002,19.633104895000002,0.1371234900000001,0.11298635999999984,0.06489510499999972,1571023007.8013098,0.2083272855693584,1.8268449685128182e+46,20.047938255000002,0.00089011626064716,0.03276212472231032,0.03361513003004057,0.037379284898048724,0.040728512686514895,0.036030522770165864,0.017961056694089417,0.011826982201111662,0.01743054547809709,0.02542481350585927,0.035754561100398395,0.03305285340152813,0.030161606000854043,283185202.4365429,0.01832345365085245,7.69611261755402e+44,0.017272728318346732
2.0,35,1.8305700000000003,19.87035,19.767699999999998,19.45395,9.136337187867245,-0.9281084056595791,46.308599327325226,19.897726440000003,19.781399635,19.475339599999998,-0.027376440000000456,-0.013699635000000394,-0.02138960000000019,1900195304.7483718,0.1630817262179272,2.3919329651687583e+46,19.88403822,0.0008525679007853155,0.03940838304259065,0.0428071488620862,0.041176825338202265,0.03690050155922722,0.03568276378997958,0.026540024111299215,0.008129424688921413,0.02175988164160064,0.02699023461199523,0.04098062081029865,0.03578972224702321,0.029670948684158985,148176020.28449485,0.01465800859815326,1.3284300726146616e+45,0.02156203929905343
2.0,36,1.8567749999999996,19.9362,19.8016,19.461850000000002,9.053711831295626,-0.8085125106832244,46.345569865729956,19.912183674999998,19.77120467,19.493104745000004,0.024016324999999835,0.030395330000000158,-0.03125474500000001,1569727025.1008248,0.24604210098694526,2.348183670102111e+46,19.9241918375,0.000968570310748212,0.0307108324588152,0.032418189348891346,0.03587782136866838,0.040728137700596884,0.03811689339207452,0.014020591535341291,0.005624349239331991,0.017873668782163756,0.028046307813726513,0.027065988856989912,0.02288489889063627,0.019636714123027508,102494772.63210492,0.02939401182526703,8.75575986653362e+44,0.01594521975839466
