SDSS_NAME,RA,DEC,REDSHIFT,g_SDSS,gerr_SDSS,r_SDSS,rerr_SDSS,i_SDSS,ierr_SDSS,LOGBH,LOGEDD_RATIO,LOGLBOL,ra,dec,g_HSC,gerr_HSC,r_HSC,rerr_HSC,i_HSC,ierr_HSC,hsc_id
b'224649.47-010631.9',341.70616,-1.10887,1.586,19.813,0.022,19.588,0.019,19.34,0.021,9.070510566338676,-0.8535198584174353,46.317361253038804,341.7061604202998,-1.1088660137751596,19.4136848,0.00108509022,19.2913361,0.00120798533,19.0748215,0.000627448084,41593296518148498
b'225851.86+004436.8',344.716116,0.743583,2.1358,19.789,0.022,19.548,0.019,19.414,0.021,9.131581701860352,-0.839712664495373,46.392239582482546,344.71612819773406,0.7435934651862847,19.6944695,0.00145750819,19.4723396,0.00124713941,19.35606,0.000719293021,42670826503300642
b'230106.40-002306.9',345.276706,-0.385269,1.7802,19.45,0.023,19.464,0.022,19.211,0.023,9.409135154672104,-1.0175246268199416,46.49198107296972,345.2767097690925,-0.3852567753838453,19.6221275,0.00108810537,19.6096268,0.00111237785,19.3723698,0.000711650122,41601697474177599
b'230127.18+010558.9',345.363255,1.099697,1.8159,20.261,0.029,19.962,0.023,19.551,0.023,9.163060582282718,-1.024687554832859,46.23874357256742,345.3632571560195,1.099696491201562,20.1323433,0.00125382259,19.9459476,0.00127552205,19.5188999,0.000860077562,42670285337427384
b'232254.33-001822.1',350.726404,-0.306145,0.6233,19.548,0.021,19.612,0.026,19.413,0.029,8.14719694747797,-0.7522867079533739,45.49528078464216,350.7264192835906,-0.3061558690666127,19.6348152,0.000914345263,19.6630039,0.000854282815,19.5080204,0.000889254326,41619564538133880
b'232811.37+003834.9',352.047395,0.643034,1.843,20.534,0.038,20.493,0.032,20.129,0.035,8.183246306485445,-0.3192235308392313,45.964393320763776,352.0474204510791,0.6430267364196849,20.6647472,0.00171877351,20.5207901,0.00152250461,20.0778294,0.00110709399,42692812440896250
b'235546.98-001856.7',358.945773,-0.315774,1.5251,20.467,0.031,20.314,0.031,20.117,0.042,8.473082861890184,-0.7527407696117621,45.820712637395985,358.94577061998666,-0.3157625711621938,20.3045712,0.00148477941,20.1413517,0.00117388053,19.9752541,0.000978859025,41641005014874230
b'235709.64+004626.6',359.290178,0.77406,1.5138,20.072,0.035,19.958,0.022,19.812,0.028,8.49799110622136,-0.6558424243373295,45.9425192270016,359.2901876585845,0.7740763500232557,20.0735607,0.00161709404,19.960207,0.00149765867,19.8133354,0.000985177932,41646219105167866
b'011733.26+005724.5',19.388608,0.95682,1.8435,20.562,0.033,20.375,0.03,20.083,0.038,9.143143128785905,-1.169429633377014,46.07408404052645,19.388626639792527,0.9568406718678516,20.540493,0.00177789561,20.5478516,0.00163806742,20.5816936,0.00350680924,41702710810012184
b'012529.07+000210.7',21.371165,0.036319,1.3052,20.919,0.034,20.631,0.036,20.546,0.046,8.896123424065506,-1.3702630832917677,45.6262308858913,21.371168446708914,0.0363118980132171,20.8883247,0.00170404476,20.6388092,0.00154160883,20.6972961,0.00450132601,41706812503776515
b'021905.48-005327.8',34.772847,-0.891082,1.3677,21.03,0.054,20.48,0.034,20.236,0.038,7.964568393101521,-0.4942634024767827,45.5706755357423,34.77285039651301,-0.8910842342210301,20.8548012,0.00158413639,20.3704338,0.00126748672,20.1752281,0.00374328904,40677545066123418
b'084457.55+003926.8',131.239821,0.657471,2.1087,18.823,0.015,18.729,0.012,18.475,0.015,8.999695871986285,-0.24238407022502173,46.857682346878825,131.2398217409734,0.6574778759829849,18.3950214,0.000404118298,18.2850342,0.000460900366,18.1101799,0.000363794592,42037507805692560
b'085006.05-001026.4',132.52524,-0.174014,1.2282,19.477,0.018,19.251,0.015,19.227,0.019,8.73636765896891,-0.6004278127176548,46.23631039136882,132.52524781894354,-0.1740061234675858,19.5036774,0.000685596315,19.2922592,0.000684643455,19.3076134,0.000671531074,40967833315729159
b'090240.23+031151.4',135.667631,3.197614,1.8975,19.754,0.023,19.309,0.017,19.05,0.018,9.16933525163317,-0.7562935084810647,46.51341228826967,135.66763156123952,3.1976229245532566,19.7971783,0.000908405054,19.2864647,0.000733192894,19.0131073,0.000528704433,44178656376942419
b'092035.51-005029.4',140.147968,-0.841525,2.1256,19.247,0.019,19.023,0.017,19.026,0.021,9.487066655753921,-0.7550600655496069,46.83237713532188,140.14796328688774,-0.8415226323206273,19.1347084,0.000768268772,18.9633865,0.000816760003,18.9374084,0.000467928388,40995166487604408
b'093536.13-005343.3',143.900568,-0.89538,2.5638,21.177,0.049,20.54,0.035,20.427,0.047,7.892352066205158,-0.02937421588902822,45.96334839543369,143.90057554158682,-0.8953736280745127,20.8072796,0.00156303856,20.3285046,0.00140523014,20.1371918,0.00101364346,41003412824816274
b'095755.63-002027.5',149.481831,-0.340987,3.7525,20.688,0.031,19.45,0.02,19.365,0.02,9.358301134020577,-0.4279369333423588,47.03073474579578,149.48183804138532,-0.3409854926631214,20.4342537,0.00183329231,19.3160973,0.000768200669,19.2407761,0.000520447327,41021292773665495
b'100529.98-004152.6',151.374917,-0.697972,0.4706,20.194,0.027,20.063,0.026,19.772,0.026,8.66004038278157,-1.5513901438591589,45.20902078403997,151.37493363685772,-0.6979696688887903,20.128809,0.00172777008,20.0423222,0.00150047604,19.5942707,0.000761239324,41025407352335390
b'100552.24+025902.4',151.467703,2.984004,0.9052,18.95,0.015,18.604,0.019,18.644,0.02,9.172661272556166,-1.091547396960685,46.18148442071304,151.4676825099642,2.9839841206486875,19.0332146,0.00106068677,18.71315,0.000798341003,18.7731514,0.000561376452,44227442910451975
b'143122.78-010856.0',217.844924,-1.148897,3.2718,20.676,0.03,20.303,0.029,20.201,0.037,8.90871098248375,-0.757815637443791,46.251265890157526,217.84492714132767,-1.1488969776341842,20.8088169,0.00181239448,20.506424,0.00150292891,20.4018383,0.0013882434,41223448294354910
b'144228.32-013618.3',220.618041,-1.605094,1.9275,19.333,0.022,19.14,0.015,19.038,0.021,9.332266405527902,-0.7564586501650297,46.67617830048044,220.6180365896541,-1.6051007539911375,19.3610382,0.000991463312,19.2383842,0.000978890457,19.1189003,0.000646228087,40163265682114006
b'221434.01-005832.6',333.641713,-0.975741,1.6766,20.348,0.028,20.161,0.024,19.83,0.025,9.097453632189646,-0.8659575429921773,46.331866634315034,333.64171266482856,-0.975738826576628,20.752636,0.00190935051,20.5887318,0.00291171321,20.1894569,0.00206901459,41566225339274351
b'224302.18+001756.9',340.759084,0.299147,1.196,20.127,0.023,19.799,0.021,19.749,0.025,9.07165874658467,-1.3962499405372668,45.77577935116497,340.7590987926846,0.2991423909552335,19.9463749,0.00114127237,19.871809,0.00127527863,19.817318,0.000950230868,42657211456975946
b'224822.92-000948.8',342.095532,-0.163578,2.1322,20.128,0.019,19.899,0.022,19.783,0.029,8.86167328877295,-0.5471746099140233,46.41486922397649,342.0955450119216,-0.1635763567864041,19.7237606,0.000985861407,19.4574547,0.000893685734,19.3950214,0.000608763599,41593043115079972
b'231941.42-003126.8',349.922588,-0.524115,2.0301,19.674,0.025,19.654,0.019,19.41,0.028,8.550363264267071,-0.23681603936411477,46.41391777002052,349.92259466214205,-0.5241050398268768,19.8248367,0.00127253507,19.755846,0.00112634385,19.5051861,0.000820310321,41614612440837012
b'232452.55-000515.3',351.218973,-0.087605,2.7789,19.607,0.026,19.43,0.02,19.29,0.022,9.255301524705853,-0.5070834336268106,46.84858863619661,351.2189589993877,-0.0876009625420546,19.7654762,0.00113195728,19.6584053,0.00114671118,19.5851707,0.0009064771,41619160811199421
b'233226.22-002307.6',353.109262,-0.38545,1.1764,19.694,0.023,19.666,0.033,19.701,0.032,9.012982179775106,-1.1563356950096662,45.957017029883005,353.1092677552171,-0.3854593149583515,20.8203754,0.00190410146,20.5206642,0.00179072889,20.543047,0.00161612418,41623275389874512
